"","SAMPLE","Site","Experiment","Name","REP","SizeFrac","r.squared","INTERCEPT","SLOPE","EXPID","TimePoint","Replicate_ID","EXP_TYPE","IGT_REP","total_euks_noFLP","total_FLP","total_euks_wflp","Minutes","SiteOrigin","FLUID_ORIGIN","CRUISE_SAMPLE","EXP_REPS","EXP_VOL","CTRL_REPS","CTRL_VOL","FLPperEuk","SITE","TYPE","SiteOrder","NameOrder"
"1","Piccard-LotsOShrimp","Piccard","LotsOShrimp-Bag","LotsOShrimp","Bag","total_euks",0.660252576775601,0.351700208188758,-0.00760582928521861,"T0-Rep3","T0","Rep3","Bag","Bag",9,3,2,0,"Vent","J2-1241","LV24",3,1.5,2,0.2,0.272727272727273,"Piccard","Bag","Piccard","Lots 'O Shrimp"
"2","Piccard-LotsOShrimp","Piccard","LotsOShrimp-Bag","LotsOShrimp","Bag","total_euks",0.660252576775601,0.351700208188758,-0.00760582928521861,"T15-Rep3","T15","Rep3","Bag","Bag",8,4,3,15,"Vent","J2-1241","LV24",3,1.5,2,0.2,0.363636363636364,"Piccard","Bag","Piccard","Lots 'O Shrimp"
"3","Piccard-LotsOShrimp","Piccard","LotsOShrimp-Bag","LotsOShrimp","Bag","total_euks",0.660252576775601,0.351700208188758,-0.00760582928521861,"T20-Rep3","T20","Rep3","Bag","Bag",9,2,1,20,"Vent","J2-1241","LV24",3,1.5,2,0.2,0.2,"Piccard","Bag","Piccard","Lots 'O Shrimp"
"4","Piccard-LotsOShrimp","Piccard","LotsOShrimp-Bag","LotsOShrimp","Bag","total_euks",0.660252576775601,0.351700208188758,-0.00760582928521861,"T40-Rep3","T40","Rep3","Bag","Bag",5,0,0,40,"Vent","J2-1241","LV24",3,1.5,2,0.2,0,"Piccard","Bag","Piccard","Lots 'O Shrimp"
"5","Piccard-Plume","Piccard","Plume-Bag","Plume","Bag","total_euks",0.0281099810079836,0.743508811264493,0.00536285578899214,"T0-Rep1","T0","Rep1","Bag","Bag",6,6,4,0,"Plume","CTD004","Niskin 10",3,2,2,0.5,0.6,"Piccard","Bag","Piccard","Plume"
"6","Piccard-Plume","Piccard","Plume-Bag","Plume","Bag","total_euks",0.0281099810079836,0.743508811264493,0.00536285578899214,"T0-Rep2","T0","Rep2","Bag","Bag",5,5,3,0,"Plume","CTD004","Niskin 10",3,2,2,0.5,0.625,"Piccard","Bag","Piccard","Plume"
"7","Piccard-Plume","Piccard","Plume-Bag","Plume","Bag","total_euks",0.0281099810079836,0.743508811264493,0.00536285578899214,"T0-Rep3","T0","Rep3","Bag","Bag",11,8,5,0,"Plume","CTD004","Niskin 10",3,2,2,0.5,0.5,"Piccard","Bag","Piccard","Plume"
"8","Piccard-Plume","Piccard","Plume-Bag","Plume","Bag","total_euks",0.0281099810079836,0.743508811264493,0.00536285578899214,"T10-Rep1","T10","Rep1","Bag","Bag",8,6,5,10,"Plume","CTD004","Niskin 10",3,2,2,0.5,0.461538461538462,"Piccard","Bag","Piccard","Plume"
"9","Piccard-Plume","Piccard","Plume-Bag","Plume","Bag","total_euks",0.0281099810079836,0.743508811264493,0.00536285578899214,"T10-Rep2","T10","Rep2","Bag","Bag",2,3,2,10,"Plume","CTD004","Niskin 10",3,2,2,0.5,0.75,"Piccard","Bag","Piccard","Plume"
"10","Piccard-Plume","Piccard","Plume-Bag","Plume","Bag","total_euks",0.0281099810079836,0.743508811264493,0.00536285578899214,"T10-Rep3","T10","Rep3","Bag","Bag",9,12,5,10,"Plume","CTD004","Niskin 10",3,2,2,0.5,0.857142857142857,"Piccard","Bag","Piccard","Plume"
"11","Piccard-Plume","Piccard","Plume-Bag","Plume","Bag","total_euks",0.0281099810079836,0.743508811264493,0.00536285578899214,"T15-Rep1","T15","Rep1","Bag","Bag",10,8,4,15,"Plume","CTD004","Niskin 10",3,2,2,0.5,0.571428571428571,"Piccard","Bag","Piccard","Plume"
"12","Piccard-Plume","Piccard","Plume-Bag","Plume","Bag","total_euks",0.0281099810079836,0.743508811264493,0.00536285578899214,"T15-Rep2","T15","Rep2","Bag","Bag",1,11,5,15,"Plume","CTD004","Niskin 10",3,2,2,0.5,1.83333333333333,"Piccard","Bag","Piccard","Plume"
"13","Piccard-Plume","Piccard","Plume-Bag","Plume","Bag","total_euks",0.0281099810079836,0.743508811264493,0.00536285578899214,"T15-Rep3","T15","Rep3","Bag","Bag",5,19,6,15,"Plume","CTD004","Niskin 10",3,2,2,0.5,1.72727272727273,"Piccard","Bag","Piccard","Plume"
"14","Piccard-Plume","Piccard","Plume-Bag","Plume","Bag","total_euks",0.0281099810079836,0.743508811264493,0.00536285578899214,"T20-Rep1","T20","Rep1","Bag","Bag",5,5,4,20,"Plume","CTD004","Niskin 10",3,2,2,0.5,0.555555555555556,"Piccard","Bag","Piccard","Plume"
"15","Piccard-Plume","Piccard","Plume-Bag","Plume","Bag","total_euks",0.0281099810079836,0.743508811264493,0.00536285578899214,"T20-Rep2","T20","Rep2","Bag","Bag",3,4,3,20,"Plume","CTD004","Niskin 10",3,2,2,0.5,0.666666666666667,"Piccard","Bag","Piccard","Plume"
"16","Piccard-Plume","Piccard","Plume-Bag","Plume","Bag","total_euks",0.0281099810079836,0.743508811264493,0.00536285578899214,"T20-Rep3","T20","Rep3","Bag","Bag",7,9,5,20,"Plume","CTD004","Niskin 10",3,2,2,0.5,0.75,"Piccard","Bag","Piccard","Plume"
"17","Piccard-Plume","Piccard","Plume-Bag","Plume","Bag","total_euks",0.0281099810079836,0.743508811264493,0.00536285578899214,"T40-Rep1","T40","Rep1","Bag","Bag",5,11,4,40,"Plume","CTD004","Niskin 10",3,2,2,0.5,1.22222222222222,"Piccard","Bag","Piccard","Plume"
"18","Piccard-Plume","Piccard","Plume-Bag","Plume","Bag","total_euks",0.0281099810079836,0.743508811264493,0.00536285578899214,"T40-Rep2","T40","Rep2","Bag","Bag",1,2,1,40,"Plume","CTD004","Niskin 10",3,2,2,0.5,1,"Piccard","Bag","Piccard","Plume"
"19","Piccard-Plume","Piccard","Plume-Bag","Plume","Bag","total_euks",0.0281099810079836,0.743508811264493,0.00536285578899214,"T40-Rep3","T40","Rep3","Bag","Bag",7,4,3,40,"Plume","CTD004","Niskin 10",3,2,2,0.5,0.4,"Piccard","Bag","Piccard","Plume"
"20","Piccard-Shrimpocalypse","Piccard","Shrimpocalypse-Bag","Shrimpocalypse","Bag","total_euks",0.134500774674668,0.741420208944325,0.0156868720775473,"T0-Rep3","T0","Rep3","Bag","Bag",9,9,4,0,"Vent","J2-1240","LV13",3,1.5,2,0.2,0.692307692307692,"Piccard","Bag","Piccard","Shrimpocalypse"
"21","Piccard-Shrimpocalypse","Piccard","Shrimpocalypse-Bag","Shrimpocalypse","Bag","total_euks",0.134500774674668,0.741420208944325,0.0156868720775473,"T10-Rep3","T10","Rep3","Bag","Bag",10,6,4,10,"Vent","J2-1240","LV13",3,1.5,2,0.2,0.428571428571429,"Piccard","Bag","Piccard","Shrimpocalypse"
"22","Piccard-Shrimpocalypse","Piccard","Shrimpocalypse-Bag","Shrimpocalypse","Bag","total_euks",0.134500774674668,0.741420208944325,0.0156868720775473,"T15-Rep3","T15","Rep3","Bag","Bag",8,8,2,14,"Vent","J2-1240","LV13",3,1.5,2,0.2,0.8,"Piccard","Bag","Piccard","Shrimpocalypse"
"23","Piccard-Shrimpocalypse","Piccard","Shrimpocalypse-Bag","Shrimpocalypse","Bag","total_euks",0.134500774674668,0.741420208944325,0.0156868720775473,"T20-Rep3","T20","Rep3","Bag","Bag",1,13,5,22,"Vent","J2-1240","LV13",3,1.5,2,0.2,2.16666666666667,"Piccard","Bag","Piccard","Shrimpocalypse"
"24","Piccard-Shrimpocalypse","Piccard","Shrimpocalypse-Bag","Shrimpocalypse","Bag","total_euks",0.134500774674668,0.741420208944325,0.0156868720775473,"T40-Rep3","T40","Rep3","Bag","Bag",2,5,3,42,"Vent","J2-1240","LV13",3,1.5,2,0.2,1,"Piccard","Bag","Piccard","Shrimpocalypse"
"25","VD-BSW","VD","BSW-Bag","BSW","Bag","total_euks",0.0163398030044463,0.338107105401249,0.00295888888032389,"T0-Rep1","T0","Rep1","Bag","Bag",12,1,1,0,"Background","CTD002","Niskins 8-10",3,2,2,0.5,0.0769230769230769,"VD","Bag","Von Damm","Background"
"26","VD-BSW","VD","BSW-Bag","BSW","Bag","total_euks",0.0163398030044463,0.338107105401249,0.00295888888032389,"T0-Rep2","T0","Rep2","Bag","Bag",9,1,1,0,"Background","CTD002","Niskins 8-10",3,2,2,0.5,0.1,"VD","Bag","Von Damm","Background"
"27","VD-BSW","VD","BSW-Bag","BSW","Bag","total_euks",0.0163398030044463,0.338107105401249,0.00295888888032389,"T10-Rep2","T10","Rep2","Bag","Bag",16,15,7,10,"Background","CTD002","Niskins 8-10",3,2,2,0.5,0.652173913043478,"VD","Bag","Von Damm","Background"
"28","VD-BSW","VD","BSW-Bag","BSW","Bag","total_euks",0.0163398030044463,0.338107105401249,0.00295888888032389,"T10-Rep3","T10","Rep3","Bag","Bag",7,13,7,10,"Background","CTD002","Niskins 8-10",3,2,2,0.5,0.928571428571429,"VD","Bag","Von Damm","Background"
"29","VD-BSW","VD","BSW-Bag","BSW","Bag","total_euks",0.0163398030044463,0.338107105401249,0.00295888888032389,"T15-Rep1","T15","Rep1","Bag","Bag",10,8,4,15,"Background","CTD002","Niskins 8-10",3,2,2,0.5,0.571428571428571,"VD","Bag","Von Damm","Background"
"30","VD-BSW","VD","BSW-Bag","BSW","Bag","total_euks",0.0163398030044463,0.338107105401249,0.00295888888032389,"T15-Rep2","T15","Rep2","Bag","Bag",14,5,4,15,"Background","CTD002","Niskins 8-10",3,2,2,0.5,0.277777777777778,"VD","Bag","Von Damm","Background"
"31","VD-BSW","VD","BSW-Bag","BSW","Bag","total_euks",0.0163398030044463,0.338107105401249,0.00295888888032389,"T15-Rep3","T15","Rep3","Bag","Bag",7,0,0,15,"Background","CTD002","Niskins 8-10",3,2,2,0.5,0,"VD","Bag","Von Damm","Background"
"32","VD-BSW","VD","BSW-Bag","BSW","Bag","total_euks",0.0163398030044463,0.338107105401249,0.00295888888032389,"T20-Rep1","T20","Rep1","Bag","Bag",12,2,2,20,"Background","CTD002","Niskins 8-10",3,2,2,0.5,0.142857142857143,"VD","Bag","Von Damm","Background"
"33","VD-BSW","VD","BSW-Bag","BSW","Bag","total_euks",0.0163398030044463,0.338107105401249,0.00295888888032389,"T20-Rep2","T20","Rep2","Bag","Bag",14,20,7,20,"Background","CTD002","Niskins 8-10",3,2,2,0.5,0.952380952380952,"VD","Bag","Von Damm","Background"
"34","VD-BSW","VD","BSW-Bag","BSW","Bag","total_euks",0.0163398030044463,0.338107105401249,0.00295888888032389,"T20-Rep3","T20","Rep3","Bag","Bag",9,2,1,20,"Background","CTD002","Niskins 8-10",3,2,2,0.5,0.2,"VD","Bag","Von Damm","Background"
"35","VD-BSW","VD","BSW-Bag","BSW","Bag","total_euks",0.0163398030044463,0.338107105401249,0.00295888888032389,"T40-Rep1","T40","Rep1","Bag","Bag",11,3,3,40,"Background","CTD002","Niskins 8-10",3,2,2,0.5,0.214285714285714,"VD","Bag","Von Damm","Background"
"36","VD-BSW","VD","BSW-Bag","BSW","Bag","total_euks",0.0163398030044463,0.338107105401249,0.00295888888032389,"T40-Rep2","T40","Rep2","Bag","Bag",11,8,6,40,"Background","CTD002","Niskins 8-10",3,2,2,0.5,0.470588235294118,"VD","Bag","Von Damm","Background"
"37","VD-BSW","VD","BSW-Bag","BSW","Bag","total_euks",0.0163398030044463,0.338107105401249,0.00295888888032389,"T40-Rep3","T40","Rep3","Bag","Bag",11,8,4,40,"Background","CTD002","Niskins 8-10",3,2,2,0.5,0.533333333333333,"VD","Bag","Von Damm","Background"
"38","VD-MustardStand","VD","MustardStand-Bag","MustardStand","Bag","total_euks",0.679501856435643,0.531653165316532,-0.00544554455445543,"T0-Rep1","T0","Rep1","Bag","Bag",8,6,3,0,"Vent","J2-1243","LV17",2,1.5,2,0.2,0.545454545454545,"VD","Bag","Von Damm","Mustard Stand"
"39","VD-MustardStand","VD","MustardStand-Bag","MustardStand","Bag","total_euks",0.679501856435643,0.531653165316532,-0.00544554455445543,"T0-Rep2","T0","Rep2","Bag","Bag",8,6,3,0,"Vent","J2-1243","LV17",2,1.5,2,0.2,0.545454545454545,"VD","Bag","Von Damm","Mustard Stand"
"40","VD-MustardStand","VD","MustardStand-Bag","MustardStand","Bag","total_euks",0.679501856435643,0.531653165316532,-0.00544554455445543,"T10-Rep1","T10","Rep1","Bag","Bag",8,5,2,10,"Vent","J2-1243","LV17",2,1.5,2,0.2,0.5,"VD","Bag","Von Damm","Mustard Stand"
"41","VD-MustardStand","VD","MustardStand-Bag","MustardStand","Bag","total_euks",0.679501856435643,0.531653165316532,-0.00544554455445543,"T20-Rep2","T20","Rep2","Bag","Bag",2,1,1,20,"Vent","J2-1243","LV17",2,1.5,2,0.2,0.333333333333333,"VD","Bag","Von Damm","Mustard Stand"
"42","VD-MustardStand","VD","MustardStand-Bag","MustardStand","Bag","total_euks",0.679501856435643,0.531653165316532,-0.00544554455445543,"T40-Rep1","T40","Rep1","Bag","Bag",7,2,1,40,"Vent","J2-1243","LV17",2,1.5,2,0.2,0.25,"VD","Bag","Von Damm","Mustard Stand"
"43","VD-MustardStand","VD","MustardStand-Bag","MustardStand","Bag","total_euks",0.679501856435643,0.531653165316532,-0.00544554455445543,"T40-Rep2","T40","Rep2","Bag","Bag",10,5,2,40,"Vent","J2-1243","LV17",2,1.5,2,0.2,0.416666666666667,"VD","Bag","Von Damm","Mustard Stand"
"44","VD-Plume","VD","Plume-Bag","Plume","Bag","total_euks",0.15245999752133,0.45659816185142,0.00527423075572689,"T0-Rep1","T0","Rep1","Bag","Bag",35,17,7,0,"Plume","CTD001","Niskin 2",3,2,2,1,0.404761904761905,"VD","Bag","Von Damm","Plume"
"45","VD-Plume","VD","Plume-Bag","Plume","Bag","total_euks",0.15245999752133,0.45659816185142,0.00527423075572689,"T0-Rep2","T0","Rep2","Bag","Bag",16,6,3,0,"Plume","CTD001","Niskin 2",3,2,2,1,0.315789473684211,"VD","Bag","Von Damm","Plume"
"46","VD-Plume","VD","Plume-Bag","Plume","Bag","total_euks",0.15245999752133,0.45659816185142,0.00527423075572689,"T0-Rep3","T0","Rep3","Bag","Bag",5,7,3,0,"Plume","CTD001","Niskin 2",3,2,2,1,0.875,"VD","Bag","Von Damm","Plume"
"47","VD-Plume","VD","Plume-Bag","Plume","Bag","total_euks",0.15245999752133,0.45659816185142,0.00527423075572689,"T10-Rep1","T10","Rep1","Bag","Bag",13,8,6,10,"Plume","CTD001","Niskin 2",3,2,2,1,0.421052631578947,"VD","Bag","Von Damm","Plume"
"48","VD-Plume","VD","Plume-Bag","Plume","Bag","total_euks",0.15245999752133,0.45659816185142,0.00527423075572689,"T10-Rep2","T10","Rep2","Bag","Bag",14,8,5,10,"Plume","CTD001","Niskin 2",3,2,2,1,0.421052631578947,"VD","Bag","Von Damm","Plume"
"49","VD-Plume","VD","Plume-Bag","Plume","Bag","total_euks",0.15245999752133,0.45659816185142,0.00527423075572689,"T10-Rep3","T10","Rep3","Bag","Bag",11,14,7,10,"Plume","CTD001","Niskin 2",3,2,2,1,0.777777777777778,"VD","Bag","Von Damm","Plume"
"50","VD-Plume","VD","Plume-Bag","Plume","Bag","total_euks",0.15245999752133,0.45659816185142,0.00527423075572689,"T15-Rep1","T15","Rep1","Bag","Bag",10,11,7,15,"Plume","CTD001","Niskin 2",3,2,2,1,0.647058823529412,"VD","Bag","Von Damm","Plume"
"51","VD-Plume","VD","Plume-Bag","Plume","Bag","total_euks",0.15245999752133,0.45659816185142,0.00527423075572689,"T15-Rep2","T15","Rep2","Bag","Bag",12,4,3,15,"Plume","CTD001","Niskin 2",3,2,2,1,0.266666666666667,"VD","Bag","Von Damm","Plume"
"52","VD-Plume","VD","Plume-Bag","Plume","Bag","total_euks",0.15245999752133,0.45659816185142,0.00527423075572689,"T15-Rep3","T15","Rep3","Bag","Bag",14,5,3,15,"Plume","CTD001","Niskin 2",3,2,2,1,0.294117647058824,"VD","Bag","Von Damm","Plume"
"53","VD-Plume","VD","Plume-Bag","Plume","Bag","total_euks",0.15245999752133,0.45659816185142,0.00527423075572689,"T20-Rep1","T20","Rep1","Bag","Bag",16,6,4,25,"Plume","CTD001","Niskin 2",3,2,2,1,0.3,"VD","Bag","Von Damm","Plume"
"54","VD-Plume","VD","Plume-Bag","Plume","Bag","total_euks",0.15245999752133,0.45659816185142,0.00527423075572689,"T20-Rep2","T20","Rep2","Bag","Bag",10,11,4,25,"Plume","CTD001","Niskin 2",3,2,2,1,0.785714285714286,"VD","Bag","Von Damm","Plume"
"55","VD-Plume","VD","Plume-Bag","Plume","Bag","total_euks",0.15245999752133,0.45659816185142,0.00527423075572689,"T20-Rep3","T20","Rep3","Bag","Bag",13,12,5,25,"Plume","CTD001","Niskin 2",3,2,2,1,0.666666666666667,"VD","Bag","Von Damm","Plume"
"56","VD-Plume","VD","Plume-Bag","Plume","Bag","total_euks",0.15245999752133,0.45659816185142,0.00527423075572689,"T40-Rep1","T40","Rep1","Bag","Bag",19,9,5,57,"Plume","CTD001","Niskin 2",3,2,2,1,0.375,"VD","Bag","Von Damm","Plume"
"57","VD-Plume","VD","Plume-Bag","Plume","Bag","total_euks",0.15245999752133,0.45659816185142,0.00527423075572689,"T40-Rep2","T40","Rep2","Bag","Bag",12,17,9,57,"Plume","CTD001","Niskin 2",3,2,2,1,0.80952380952381,"VD","Bag","Von Damm","Plume"
"58","VD-Plume","VD","Plume-Bag","Plume","Bag","total_euks",0.15245999752133,0.45659816185142,0.00527423075572689,"T40-Rep3","T40","Rep3","Bag","Bag",6,13,5,57,"Plume","CTD001","Niskin 2",3,2,2,1,1.18181818181818,"VD","Bag","Von Damm","Plume"
"59","VD-Rav2","VD","Rav2-Bag","Rav2","Bag","total_euks",0.003588551340282,0.968018145839097,0.00347021735159361,"T0-Rep1","T0","Rep1","Bag","Bag",11,16,5,0,"Vent","J2-1238","LV13a",3,1.5,2,0.5,1,"VD","Bag","Von Damm","Ravelin #2"
"60","VD-Rav2","VD","Rav2-Bag","Rav2","Bag","total_euks",0.003588551340282,0.968018145839097,0.00347021735159361,"T0-Rep2","T0","Rep2","Bag","Bag",19,6,4,0,"Vent","J2-1238","LV13a",3,1.5,2,0.5,0.260869565217391,"VD","Bag","Von Damm","Ravelin #2"
"61","VD-Rav2","VD","Rav2-Bag","Rav2","Bag","total_euks",0.003588551340282,0.968018145839097,0.00347021735159361,"T10-Rep1","T10","Rep1","Bag","Bag",5,17,5,10,"Vent","J2-1238","LV13a",3,1.5,2,0.5,1.7,"VD","Bag","Von Damm","Ravelin #2"
"62","VD-Rav2","VD","Rav2-Bag","Rav2","Bag","total_euks",0.003588551340282,0.968018145839097,0.00347021735159361,"T10-Rep2","T10","Rep2","Bag","Bag",15,4,3,10,"Vent","J2-1238","LV13a",3,1.5,2,0.5,0.222222222222222,"VD","Bag","Von Damm","Ravelin #2"
"63","VD-Rav2","VD","Rav2-Bag","Rav2","Bag","total_euks",0.003588551340282,0.968018145839097,0.00347021735159361,"T15-Rep1","T15","Rep1","Bag","Bag",9,19,7,15,"Vent","J2-1238","LV13a",3,1.5,2,0.5,1.1875,"VD","Bag","Von Damm","Ravelin #2"
"64","VD-Rav2","VD","Rav2-Bag","Rav2","Bag","total_euks",0.003588551340282,0.968018145839097,0.00347021735159361,"T15-Rep2","T15","Rep2","Bag","Bag",18,11,7,15,"Vent","J2-1238","LV13a",3,1.5,2,0.5,0.44,"VD","Bag","Von Damm","Ravelin #2"
"65","VD-Rav2","VD","Rav2-Bag","Rav2","Bag","total_euks",0.003588551340282,0.968018145839097,0.00347021735159361,"T15-Rep3","T15","Rep3","Bag","Bag",2,11,3,15,"Vent","J2-1238","LV13a",3,1.5,2,0.5,2.2,"VD","Bag","Von Damm","Ravelin #2"
"66","VD-Rav2","VD","Rav2-Bag","Rav2","Bag","total_euks",0.003588551340282,0.968018145839097,0.00347021735159361,"T20-Rep1","T20","Rep1","Bag","Bag",7,38,9,21,"Vent","J2-1238","LV13a",3,1.5,2,0.5,2.375,"VD","Bag","Von Damm","Ravelin #2"
"67","VD-Rav2","VD","Rav2-Bag","Rav2","Bag","total_euks",0.003588551340282,0.968018145839097,0.00347021735159361,"T20-Rep2","T20","Rep2","Bag","Bag",16,5,4,21,"Vent","J2-1238","LV13a",3,1.5,2,0.5,0.25,"VD","Bag","Von Damm","Ravelin #2"
